14:20:08.510 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
14:20:08.529 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
14:20:08.550 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
14:20:08.550 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
14:20:08.550 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00002AB8 (PID-specific).
14:20:08.551 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00002AB8 (PID-specific) has no value.
14:20:08.551 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
14:20:08.699 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=154ms
14:20:08.699 |V| JetEnvironment                | :1                 | HostInit phase completed.
14:20:08.699 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
14:20:09.095 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\mrbos\Downloads\PreFlightGame\Library\RiderFlow\2022.1.3.222\Backend~\bin.
14:20:09.214 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\mrbos\Downloads\PreFlightGame\Library\RiderFlow\2022.1.3.222\Backend~\bin for Deployed Packages. Picking nugets? True!
